Date,Transaction Description,Category,Amount,Type
2023-01-07,KFC,Food & Drink,30.09,Expense
2023-01-08,Netflix,Entertainment,77.84,Expense
2023-01-09,Starbucks,Food & Drink,75.46,Expense
2023-01-10,Netflix,Entertainment,50.17,Expense
2023-01-13,McDonalds,Food & Drink,63.02,Expense
2023-01-14,McDonalds,Food & Drink,53.48,Expense
2023-01-15,McDonalds,Food & Drink,49.52,Expense
2023-01-16,Internet,Utilities,56.6,Expense
2023-01-18,Cinema,Entertainment,46.13,Expense
2023-01-19,Online Shop,Shopping,10.63,Expense
2023-01-20,Clothes,Shopping,67.84,Expense
2023-01-21,Internet,Utilities,46.55,Expense
2023-01-23,Cinema,Entertainment,43.11,Expense
2023-01-25,McDonalds,Food & Drink,76.31,Expense
2023-01-26,KFC,Food & Drink,43.99,Expense
2023-01-28,Online Shop,Shopping,20.15,Expense
2023-01-29,Online Shop,Shopping,67.26,Expense
2023-01-30,KFC,Food & Drink,25.91,Expense
2023-01-31,Electricity Bill,Utilities,42.28,Expense
2023-02-03,Cinema,Entertainment,51.22,Expense
2023-02-05,Cinema,Entertainment,48.98,Expense
2023-02-06,KFC,Food & Drink,56.6,Expense
2023-02-07,Online Shop,Shopping,65.68,Expense
2023-02-08,Electricity Bill,Utilities,22.98,Expense
2023-02-10,Online Shop,Shopping,75.44,Expense
2023-02-12,Internet,Utilities,107.25,Expense
2023-02-13,Online Shop,Shopping,26.1,Expense
2023-02-14,Cinema,Entertainment,10.19,Expense
2023-02-15,Online Shop,Shopping,55.5,Expense
2023-02-16,McDonalds,Food & Drink,69.73,Expense
2023-02-17,Online Shop,Shopping,15.1,Expense
2023-02-18,Online Shop,Shopping,73.25,Expense
2023-02-20,Internet,Utilities,46.38,Expense
2023-02-22,Online Shop,Shopping,12.56,Expense
2023-02-23,Internet,Utilities,56.84,Expense
2023-02-24,Cinema,Entertainment,19.76,Expense
2023-02-25,Netflix,Entertainment,23.9,Expense
2023-02-26,McDonalds,Food & Drink,57.22,Expense
2023-02-28,Internet,Utilities,12.63,Expense
2023-03-02,Netflix,Entertainment,63.04,Expense
2023-03-07,KFC,Food & Drink,66.48,Expense
2023-03-08,Cinema,Entertainment,62.23,Expense
2023-03-10,Online Shop,Shopping,40.27,Expense
2023-03-11,Netflix,Entertainment,139.86,Expense
2023-03-13,Internet,Utilities,26.76,Expense
2023-03-14,Starbucks,Food & Drink,35.66,Expense
2023-03-16,Online Shop,Shopping,45.67,Expense
2023-03-17,Netflix,Entertainment,73.72,Expense
2023-03-18,Electricity Bill,Utilities,50.45,Expense
2023-03-19,KFC,Food & Drink,144.83,Expense
2023-03-20,Cinema,Entertainment,52.12,Expense
2023-03-21,Online Shop,Shopping,71.45,Expense
2023-03-22,Netflix,Entertainment,16.93,Expense
2023-03-23,Cinema,Entertainment,52.26,Expense
2023-03-24,KFC,Food & Drink,39.97,Expense
2023-03-25,Internet,Utilities,44.51,Expense
2023-03-26,Internet,Utilities,21.81,Expense
2023-03-29,Electricity Bill,Utilities,56.23,Expense
2023-04-02,Netflix,Entertainment,64.47,Expense
2023-04-03,Clothes,Shopping,43.09,Expense
2023-04-05,KFC,Food & Drink,67.26,Expense
2023-04-06,Internet,Utilities,71.09,Expense
2023-04-09,Cinema,Entertainment,82.54,Expense
2023-04-10,Cinema,Entertainment,75.83,Expense
2023-04-11,Clothes,Shopping,20.75,Expense
2023-04-12,Cinema,Entertainment,34.69,Expense
2023-04-14,Starbucks,Food & Drink,28.76,Expense
2023-04-15,Cinema,Entertainment,52.47,Expense
2023-04-16,Cinema,Entertainment,102.39,Expense
2023-04-17,Netflix,Entertainment,73.18,Expense
2023-04-19,Electricity Bill,Utilities,67.4,Expense
2023-04-21,KFC,Food & Drink,75.87,Expense
2023-04-22,Online Shop,Shopping,113.72,Expense
2023-04-23,Netflix,Entertainment,21.55,Expense
2023-04-24,Starbucks,Food & Drink,59.48,Expense
2023-04-25,Starbucks,Food & Drink,41.33,Expense
2023-04-26,Netflix,Entertainment,49.92,Expense
2023-04-27,Cinema,Entertainment,42.56,Expense
2023-04-28,Internet,Utilities,36.86,Expense
2023-04-30,Online Shop,Shopping,123.17,Expense
2023-05-02,Clothes,Shopping,22.5,Expense
2023-05-03,Netflix,Entertainment,36.89,Expense
2023-05-04,Clothes,Shopping,45.98,Expense
2023-05-05,Netflix,Entertainment,69.9,Expense
2023-05-06,Electricity Bill,Utilities,94.48,Expense
2023-05-08,Internet,Utilities,53.07,Expense
2023-05-09,KFC,Food & Drink,62.59,Expense
2023-05-10,Internet,Utilities,61.89,Expense
2023-05-11,Internet,Utilities,60.93,Expense
2023-05-12,McDonalds,Food & Drink,23.17,Expense
2023-05-13,Electricity Bill,Utilities,80.41,Expense
2023-05-14,Cinema,Entertainment,47.81,Expense
2023-05-15,KFC,Food & Drink,5.74,Expense
2023-05-16,Clothes,Shopping,10.09,Expense
2023-05-17,McDonalds,Food & Drink,75.24,Expense
2023-05-19,Clothes,Shopping,32.7,Expense
2023-05-20,KFC,Food & Drink,28.2,Expense
2023-05-21,Starbucks,Food & Drink,86.9,Expense
2023-05-22,Electricity Bill,Utilities,21.58,Expense
2023-05-23,Clothes,Shopping,17.74,Expense
2023-05-24,KFC,Food & Drink,46.92,Expense
2023-05-27,Netflix,Entertainment,115.6,Expense
2023-05-28,McDonalds,Food & Drink,136.33,Expense
2023-05-29,Internet,Utilities,47.72,Expense
2023-05-30,Cinema,Entertainment,73.8,Expense
2023-05-31,Electricity Bill,Utilities,39.19,Expense
2023-06-02,Electricity Bill,Utilities,56.0,Expense
2023-06-03,KFC,Food & Drink,109.3,Expense
2023-06-05,Netflix,Entertainment,10.09,Expense
2023-06-06,Online Shop,Shopping,62.16,Expense
2023-06-07,Cinema,Entertainment,7.11,Expense
2023-06-08,Electricity Bill,Utilities,56.37,Expense
2023-06-09,Netflix,Entertainment,70.83,Expense
2023-06-11,Cinema,Entertainment,30.36,Expense
2023-06-13,KFC,Food & Drink,51.14,Expense
2023-06-14,KFC,Food & Drink,59.4,Expense
2023-06-15,Online Shop,Shopping,58.9,Expense
2023-06-17,Online Shop,Shopping,58.27,Expense
2023-06-20,Online Shop,Shopping,32.01,Expense
2023-06-21,Online Shop,Shopping,35.7,Expense
2023-06-22,Clothes,Shopping,16.59,Expense
2023-06-23,Cinema,Entertainment,54.32,Expense
2023-06-24,McDonalds,Food & Drink,32.88,Expense
2023-06-25,Cinema,Entertainment,40.13,Expense
2023-06-26,Online Shop,Shopping,33.83,Expense
2023-06-27,McDonalds,Food & Drink,53.21,Expense
2023-06-29,KFC,Food & Drink,44.3,Expense
2023-07-03,Online Shop,Shopping,72.25,Expense
2023-07-04,Cinema,Entertainment,70.69,Expense
2023-07-05,Cinema,Entertainment,70.82,Expense
2023-07-08,Internet,Utilities,50.42,Expense
2023-07-11,Clothes,Shopping,8.57,Expense
2023-07-12,Cinema,Entertainment,17.96,Expense
2023-07-13,Netflix,Entertainment,29.8,Expense
2023-07-14,Netflix,Entertainment,64.45,Expense
2023-07-16,McDonalds,Food & Drink,75.48,Expense
2023-07-17,Cinema,Entertainment,44.03,Expense
2023-07-19,McDonalds,Food & Drink,37.7,Expense
2023-07-20,Internet,Utilities,36.93,Expense
2023-07-21,KFC,Food & Drink,50.6,Expense
2023-07-22,Clothes,Shopping,113.41,Expense
2023-07-23,Cinema,Entertainment,38.31,Expense
2023-07-24,Electricity Bill,Utilities,78.53,Expense
2023-07-25,Netflix,Entertainment,61.49,Expense
2023-07-26,McDonalds,Food & Drink,22.94,Expense
2023-07-28,Cinema,Entertainment,39.06,Expense
2023-07-29,Cinema,Entertainment,54.84,Expense
2023-07-30,Internet,Utilities,136.87,Expense
2023-07-31,Internet,Utilities,75.54,Expense
2023-08-03,Internet,Utilities,70.93,Expense
2023-08-04,Online Shop,Shopping,41.25,Expense
2023-08-07,McDonalds,Food & Drink,74.16,Expense
2023-08-08,Internet,Utilities,29.73,Expense
2023-08-09,Electricity Bill,Utilities,70.07,Expense
2023-08-10,Electricity Bill,Utilities,53.0,Expense
2023-08-11,KFC,Food & Drink,20.14,Expense
2023-08-12,Online Shop,Shopping,50.86,Expense
2023-08-13,Electricity Bill,Utilities,88.07,Expense
2023-08-14,Cinema,Entertainment,48.85,Expense
2023-08-15,Online Shop,Shopping,14.99,Expense
2023-08-16,Online Shop,Shopping,70.96,Expense
2023-08-17,Online Shop,Shopping,39.34,Expense
2023-08-18,Online Shop,Shopping,19.69,Expense
2023-08-19,KFC,Food & Drink,22.49,Expense
2023-08-20,McDonalds,Food & Drink,58.87,Expense
2023-08-21,Electricity Bill,Utilities,73.49,Expense
2023-08-23,McDonalds,Food & Drink,78.66,Expense
2023-08-24,KFC,Food & Drink,68.1,Expense
2023-08-25,Online Shop,Shopping,58.22,Expense
2023-08-26,Online Shop,Shopping,116.31,Expense
2023-08-27,KFC,Food & Drink,75.87,Expense
2023-08-29,Clothes,Shopping,14.63,Expense
2023-08-30,Netflix,Entertainment,6.81,Expense
2023-08-31,Electricity Bill,Utilities,68.44,Expense
2023-09-03,Netflix,Entertainment,104.09,Expense
2023-09-06,Clothes,Shopping,71.76,Expense
2023-09-07,Cinema,Entertainment,7.9,Expense
2023-09-08,Clothes,Shopping,33.67,Expense
2023-09-10,Clothes,Shopping,35.88,Expense
2023-09-11,Starbucks,Food & Drink,57.06,Expense
2023-09-12,Online Shop,Shopping,16.7,Expense
2023-09-13,McDonalds,Food & Drink,29.28,Expense
2023-09-14,Netflix,Entertainment,32.22,Expense
2023-09-15,Netflix,Entertainment,19.68,Expense
2023-09-16,Electricity Bill,Utilities,54.38,Expense
2023-09-17,Starbucks,Food & Drink,119.58,Expense
2023-09-18,Internet,Utilities,24.55,Expense
2023-09-19,Internet,Utilities,9.39,Expense
2023-09-21,McDonalds,Food & Drink,41.85,Expense
2023-09-22,Electricity Bill,Utilities,30.99,Expense
2023-09-23,Clothes,Shopping,32.24,Expense
2023-09-25,Internet,Utilities,70.38,Expense
2023-09-26,Internet,Utilities,78.71,Expense
2023-09-27,McDonalds,Food & Drink,69.03,Expense
2023-09-28,McDonalds,Food & Drink,72.31,Expense
2023-09-30,Internet,Utilities,98.49,Expense
2023-10-02,McDonalds,Food & Drink,50.11,Expense
2023-10-03,Online Shop,Shopping,15.89,Expense
2023-10-05,Electricity Bill,Utilities,29.48,Expense
2023-10-06,Cinema,Entertainment,24.42,Expense
2023-10-07,Online Shop,Shopping,49.91,Expense
2023-10-09,Internet,Utilities,79.0,Expense
2023-10-11,Netflix,Entertainment,26.87,Expense
2023-10-12,Cinema,Entertainment,68.07,Expense
2023-10-14,Clothes,Shopping,115.51,Expense
2023-10-15,Netflix,Entertainment,120.36,Expense
2023-10-16,Online Shop,Shopping,56.6,Expense
2023-10-18,Electricity Bill,Utilities,69.29,Expense
2023-10-19,Starbucks,Food & Drink,47.52,Expense
2023-10-20,Electricity Bill,Utilities,18.69,Expense
2023-10-21,Cinema,Entertainment,111.92,Expense
2023-10-22,Clothes,Shopping,32.05,Expense
2023-10-24,Starbucks,Food & Drink,5.3,Expense
2023-10-27,Online Shop,Shopping,25.27,Expense
2023-10-28,Netflix,Entertainment,62.61,Expense
2023-10-29,Online Shop,Shopping,114.66,Expense
2023-10-30,Internet,Utilities,31.54,Expense
2023-10-31,KFC,Food & Drink,43.87,Expense
2023-11-02,Cinema,Entertainment,9.17,Expense
2023-11-03,Netflix,Entertainment,22.33,Expense
2023-11-04,Clothes,Shopping,88.69,Expense
2023-11-06,Cinema,Entertainment,58.19,Expense
2023-11-07,Internet,Utilities,27.49,Expense
2023-11-08,Netflix,Entertainment,21.6,Expense
2023-11-09,Cinema,Entertainment,42.76,Expense
2023-11-10,Cinema,Entertainment,34.63,Expense
2023-11-11,McDonalds,Food & Drink,45.47,Expense
2023-11-12,Online Shop,Shopping,113.65,Expense
2023-11-13,Electricity Bill,Utilities,13.56,Expense
2023-11-14,Online Shop,Shopping,8.09,Expense
2023-11-16,Cinema,Entertainment,23.49,Expense
2023-11-17,Cinema,Entertainment,47.72,Expense
2023-11-18,KFC,Food & Drink,98.77,Expense
2023-11-19,KFC,Food & Drink,78.16,Expense
2023-11-20,Online Shop,Shopping,45.23,Expense
2023-11-22,Online Shop,Shopping,65.09,Expense
2023-11-23,Internet,Utilities,30.59,Expense
2023-11-25,KFC,Food & Drink,110.53,Expense
2023-11-26,Cinema,Entertainment,34.58,Expense
2023-11-28,Clothes,Shopping,50.8,Expense
2023-11-29,McDonalds,Food & Drink,43.78,Expense
2023-11-30,Online Shop,Shopping,13.3,Expense
2023-12-02,Netflix,Entertainment,66.8,Expense
2023-12-03,McDonalds,Food & Drink,71.05,Expense
2023-12-04,Electricity Bill,Utilities,27.34,Expense
2023-12-05,Starbucks,Food & Drink,28.0,Expense
2023-12-06,Cinema,Entertainment,28.01,Expense
2023-12-07,Starbucks,Food & Drink,60.53,Expense
2023-12-10,Online Shop,Shopping,53.22,Expense
2023-12-11,Internet,Utilities,76.77,Expense
2023-12-12,Clothes,Shopping,49.02,Expense
2023-12-13,Internet,Utilities,76.75,Expense
2023-12-14,Starbucks,Food & Drink,16.85,Expense
2023-12-15,Clothes,Shopping,75.06,Expense
2023-12-16,Internet,Utilities,67.93,Expense
2023-12-17,McDonalds,Food & Drink,57.87,Expense
2023-12-18,Internet,Utilities,21.34,Expense
2023-12-20,Clothes,Shopping,78.66,Expense
2023-12-21,Internet,Utilities,33.36,Expense
2023-12-22,Internet,Utilities,55.72,Expense
2023-12-23,Cinema,Entertainment,111.24,Expense
2023-12-24,Online Shop,Shopping,68.41,Expense
2023-12-26,Clothes,Shopping,63.29,Expense
2023-12-27,Cinema,Entertainment,78.12,Expense
2023-12-29,Cinema,Entertainment,27.86,Expense
2023-12-30,Clothes,Shopping,100.39,Expense
2020-06-24,Cinema,Entertainment,36.44,Expense
2021-12-29,Clothes,Shopping,63.76,Expense
2021-10-22,KFC,Food & Drink,60.34,Expense
2023-09-26,Starbucks,Food & Drink,64.05,Expense
2023-04-18,Starbucks,Food & Drink,19.7,Expense
2022-07-27,Cinema,Entertainment,29.16,Expense
2024-04-25,Netflix,Entertainment,46.05,Expense
2020-05-07,Online Shop,Shopping,24.5,Expense
2021-11-12,Netflix,Entertainment,17.03,Expense
2024-12-20,Electricity Bill,Utilities,36.07,Expense
2021-03-22,Internet,Utilities,75.73,Expense
2020-06-14,Netflix,Entertainment,55.32,Expense
2020-11-17,Internet,Utilities,67.77,Expense
2021-01-28,Internet,Utilities,20.12,Expense
2020-09-02,Online Shop,Shopping,75.09,Expense
2022-01-21,Starbucks,Food & Drink,76.31,Expense
2023-02-26,Netflix,Entertainment,112.34,Expense
2020-09-05,McDonalds,Food & Drink,140.47,Expense
2021-10-06,McDonalds,Food & Drink,28.15,Expense
2023-01-20,Cinema,Entertainment,14.51,Expense
2022-08-27,Internet,Utilities,82.87,Expense
2023-04-03,Electricity Bill,Utilities,74.53,Expense
2022-11-13,Internet,Utilities,125.19,Expense
2023-10-23,Online Shop,Shopping,56.84,Expense
2020-12-21,Electricity Bill,Utilities,53.65,Expense
2020-09-15,Clothes,Shopping,6.7,Expense
2021-01-09,Netflix,Entertainment,63.99,Expense
2020-08-19,Cinema,Entertainment,66.5,Expense
2021-05-18,Cinema,Entertainment,17.28,Expense
2021-11-05,Electricity Bill,Utilities,44.65,Expense
2024-08-11,Clothes,Shopping,68.9,Expense
2020-09-09,KFC,Food & Drink,43.45,Expense
2024-11-30,KFC,Food & Drink,30.1,Expense
2021-08-17,McDonalds,Food & Drink,28.36,Expense
2023-06-23,Netflix,Entertainment,59.19,Expense
2024-07-07,KFC,Food & Drink,109.96,Expense
2021-08-20,Electricity Bill,Utilities,67.25,Expense
2024-11-04,Internet,Utilities,64.15,Expense
2020-11-14,Internet,Utilities,116.85,Expense
2022-11-17,Internet,Utilities,38.48,Expense
2024-02-02,Electricity Bill,Utilities,57.09,Expense
2024-10-05,Electricity Bill,Utilities,63.53,Expense
2024-07-04,McDonalds,Food & Drink,78.28,Expense
2024-03-07,Online Shop,Shopping,72.44,Expense
2020-04-22,Starbucks,Food & Drink,77.15,Expense
2022-03-30,Cinema,Entertainment,28.39,Expense
2021-08-10,Netflix,Entertainment,77.58,Expense
2023-08-16,Online Shop,Shopping,51.93,Expense
2023-12-18,Internet,Utilities,55.93,Expense
2023-11-13,Netflix,Entertainment,55.3,Expense
2022-02-20,Online Shop,Shopping,53.37,Expense
2023-07-25,Online Shop,Shopping,25.87,Expense
2023-05-14,Electricity Bill,Utilities,24.55,Expense
2022-05-23,Clothes,Shopping,66.53,Expense
2021-08-04,Starbucks,Food & Drink,23.51,Expense
2023-11-23,Clothes,Shopping,65.52,Expense
2023-12-31,Cinema,Entertainment,31.57,Expense
2020-08-12,Electricity Bill,Utilities,18.72,Expense
2020-12-20,Online Shop,Shopping,43.59,Expense
2022-06-29,Electricity Bill,Utilities,42.66,Expense
2024-03-21,Netflix,Entertainment,50.3,Expense
2023-05-11,McDonalds,Food & Drink,31.4,Expense
2022-12-05,Netflix,Entertainment,73.5,Expense
2022-08-30,Electricity Bill,Utilities,27.79,Expense
2022-12-03,Online Shop,Shopping,54.32,Expense
2022-06-26,Cinema,Entertainment,80.75,Expense
2021-10-15,Clothes,Shopping,22.54,Expense
2021-09-24,Online Shop,Shopping,9.95,Expense
2024-08-07,KFC,Food & Drink,12.76,Expense
2022-11-11,McDonalds,Food & Drink,13.26,Expense
2022-06-27,Clothes,Shopping,69.13,Expense
2024-04-24,Netflix,Entertainment,14.9,Expense
2022-05-22,KFC,Food & Drink,46.09,Expense
2022-12-25,Online Shop,Shopping,100.24,Expense
2023-05-13,Cinema,Entertainment,30.17,Expense
2021-02-22,Internet,Utilities,43.43,Expense
2020-01-25,Internet,Utilities,25.7,Expense
2021-10-24,Electricity Bill,Utilities,117.21,Expense
2020-12-23,Clothes,Shopping,75.06,Expense
2023-09-27,Electricity Bill,Utilities,55.63,Expense
2022-05-30,Cinema,Entertainment,20.76,Expense
2022-11-29,Cinema,Entertainment,8.16,Expense
2023-10-07,Starbucks,Food & Drink,123.88,Expense
2020-11-25,Starbucks,Food & Drink,5.41,Expense
2020-08-14,KFC,Food & Drink,7.66,Expense
2021-07-30,McDonalds,Food & Drink,15.96,Expense
2020-09-19,Clothes,Shopping,84.26,Expense
2022-12-09,Netflix,Entertainment,79.67,Expense
2023-04-14,Netflix,Entertainment,48.84,Expense
2020-09-10,KFC,Food & Drink,27.17,Expense
2023-12-07,KFC,Food & Drink,38.45,Expense
2020-10-10,Electricity Bill,Utilities,98.07,Expense
2020-07-08,Internet,Utilities,59.67,Expense
2024-04-13,Clothes,Shopping,81.99,Expense
2022-09-10,Electricity Bill,Utilities,140.44,Expense
2024-08-03,Electricity Bill,Utilities,41.93,Expense
2020-04-16,KFC,Food & Drink,66.91,Expense
2021-01-04,Electricity Bill,Utilities,31.14,Expense
2020-08-22,Internet,Utilities,57.98,Expense
2023-09-14,Cinema,Entertainment,59.38,Expense
2024-02-28,Electricity Bill,Utilities,12.69,Expense
2022-05-13,Online Shop,Shopping,42.83,Expense
2020-12-14,Cinema,Entertainment,77.26,Expense
2023-08-10,KFC,Food & Drink,44.93,Expense
2021-05-06,Netflix,Entertainment,42.74,Expense
2024-01-31,Cinema,Entertainment,5.76,Expense
2023-12-28,Starbucks,Food & Drink,33.75,Expense
2024-02-22,Cinema,Entertainment,64.22,Expense
2024-07-04,Clothes,Shopping,6.52,Expense
2022-08-26,Netflix,Entertainment,40.19,Expense
2022-04-24,Internet,Utilities,33.7,Expense
2022-03-19,Electricity Bill,Utilities,130.75,Expense
2022-03-05,Clothes,Shopping,27.57,Expense
2022-05-28,Internet,Utilities,97.75,Expense
2022-12-26,Electricity Bill,Utilities,14.38,Expense
2020-08-09,Netflix,Entertainment,81.69,Expense
2022-10-29,Cinema,Entertainment,126.25,Expense
2022-11-22,Internet,Utilities,27.92,Expense
2022-01-25,Cinema,Entertainment,68.06,Expense
2020-12-12,Internet,Utilities,24.05,Expense
2022-11-05,Electricity Bill,Utilities,126.36,Expense
2020-08-02,KFC,Food & Drink,67.34,Expense
2024-03-31,Netflix,Entertainment,125.28,Expense
2023-01-17,Online Shop,Shopping,11.24,Expense
2024-08-17,Starbucks,Food & Drink,120.7,Expense
2020-03-02,Starbucks,Food & Drink,65.41,Expense
2020-05-26,Netflix,Entertainment,25.94,Expense
2021-01-26,Cinema,Entertainment,61.5,Expense
2023-11-19,McDonalds,Food & Drink,103.99,Expense
2020-09-21,Online Shop,Shopping,18.25,Expense
2021-03-30,Internet,Utilities,47.41,Expense
2024-09-15,KFC,Food & Drink,143.7,Expense
2021-10-14,KFC,Food & Drink,38.9,Expense
2023-02-03,Online Shop,Shopping,14.22,Expense
2024-10-20,KFC,Food & Drink,100.57,Expense
2020-06-14,McDonalds,Food & Drink,44.09,Expense
2021-08-24,Starbucks,Food & Drink,34.5,Expense
2020-01-23,Online Shop,Shopping,66.99,Expense
2024-12-07,Internet,Utilities,120.77,Expense
2023-05-25,Netflix,Entertainment,19.32,Expense
2020-05-25,Netflix,Entertainment,9.26,Expense
2024-12-10,Netflix,Entertainment,44.22,Expense
2023-07-22,Clothes,Shopping,30.75,Expense
2021-02-11,KFC,Food & Drink,32.69,Expense
2021-02-16,Clothes,Shopping,71.96,Expense
2022-07-25,Clothes,Shopping,45.27,Expense
2020-08-18,Cinema,Entertainment,17.62,Expense
2022-09-12,Internet,Utilities,38.7,Expense
2022-01-24,Cinema,Entertainment,57.07,Expense
2024-03-04,Online Shop,Shopping,54.89,Expense
2023-06-07,Internet,Utilities,73.92,Expense
2022-12-10,Cinema,Entertainment,32.75,Expense
2020-07-07,Starbucks,Food & Drink,37.6,Expense
2021-11-13,Internet,Utilities,65.64,Expense
2022-03-05,Online Shop,Shopping,139.22,Expense
2022-05-24,Internet,Utilities,43.92,Expense
2020-09-02,Internet,Utilities,49.01,Expense
2022-07-11,Internet,Utilities,49.67,Expense
2024-11-15,Cinema,Entertainment,66.46,Expense
2020-03-12,Clothes,Shopping,63.56,Expense
2024-05-15,Internet,Utilities,45.27,Expense
2020-12-04,Netflix,Entertainment,57.51,Expense
2024-11-14,Clothes,Shopping,18.0,Expense
2020-03-08,Clothes,Shopping,118.15,Expense
2023-06-04,Cinema,Entertainment,63.35,Expense
2023-09-14,Clothes,Shopping,58.16,Expense
2020-09-24,Cinema,Entertainment,51.46,Expense
2021-04-24,Clothes,Shopping,127.12,Expense
2021-10-20,Netflix,Entertainment,43.79,Expense
2023-01-09,Internet,Utilities,67.46,Expense
2024-08-21,Internet,Utilities,21.79,Expense
2023-09-30,KFC,Food & Drink,23.21,Expense
2024-10-28,Starbucks,Food & Drink,27.96,Expense
2020-04-11,Online Shop,Shopping,100.63,Expense
2024-06-15,Internet,Utilities,34.82,Expense
2023-07-24,Netflix,Entertainment,26.67,Expense
2024-02-19,Online Shop,Shopping,12.25,Expense
2023-11-22,Internet,Utilities,23.8,Expense
2021-12-21,Online Shop,Shopping,33.8,Expense
2024-04-04,Internet,Utilities,37.63,Expense
2020-10-18,Internet,Utilities,46.79,Expense
2024-06-05,Cinema,Entertainment,67.57,Expense
2024-02-24,Clothes,Shopping,70.96,Expense
2021-10-08,Cinema,Entertainment,11.5,Expense
2021-02-02,Clothes,Shopping,61.8,Expense
2022-04-28,Starbucks,Food & Drink,23.82,Expense
2023-09-10,Starbucks,Food & Drink,137.86,Expense
2022-10-05,Online Shop,Shopping,61.68,Expense
2021-08-02,Internet,Utilities,24.42,Expense
2022-09-22,McDonalds,Food & Drink,68.19,Expense
2022-09-27,McDonalds,Food & Drink,25.66,Expense
2022-01-12,Netflix,Entertainment,63.5,Expense
2021-10-06,Netflix,Entertainment,78.01,Expense
2022-10-17,Internet,Utilities,37.17,Expense
2021-07-05,Netflix,Entertainment,60.39,Expense
2022-03-13,Netflix,Entertainment,71.0,Expense
2023-02-26,Internet,Utilities,71.38,Expense
2022-08-05,Starbucks,Food & Drink,73.3,Expense
2020-04-21,Netflix,Entertainment,49.46,Expense
2021-02-09,Starbucks,Food & Drink,57.18,Expense
2024-04-22,McDonalds,Food & Drink,45.06,Expense
2021-10-11,KFC,Food & Drink,18.22,Expense
2021-03-04,Cinema,Entertainment,17.28,Expense
2021-03-20,Electricity Bill,Utilities,76.61,Expense
2022-02-24,Clothes,Shopping,32.22,Expense
2021-04-09,Cinema,Entertainment,70.3,Expense
2024-05-05,Clothes,Shopping,70.12,Expense
2023-04-30,Cinema,Entertainment,34.84,Expense
2023-09-23,Electricity Bill,Utilities,143.48,Expense
2024-03-13,KFC,Food & Drink,6.47,Expense
2021-01-22,Internet,Utilities,54.94,Expense
2023-10-21,Online Shop,Shopping,132.85,Expense
2024-04-16,Online Shop,Shopping,63.66,Expense
2020-11-19,Internet,Utilities,71.48,Expense
2022-07-07,McDonalds,Food & Drink,76.44,Expense
2020-02-20,Electricity Bill,Utilities,52.42,Expense
2020-09-13,McDonalds,Food & Drink,115.82,Expense
2020-01-09,Netflix,Entertainment,33.41,Expense
2021-04-25,Internet,Utilities,46.91,Expense
2021-11-22,Internet,Utilities,25.96,Expense
2020-01-14,KFC,Food & Drink,49.18,Expense
2024-02-10,Clothes,Shopping,21.15,Expense
2023-06-29,Online Shop,Shopping,11.41,Expense
